Price,Close,High,Low,Open,Volume
Ticker,TSM,TSM,TSM,TSM,TSM
Date,,,,,
2010-01-04,7.235776424407959,7.304509837855466,7.167043010960453,7.1795397243579515,8096400
2010-01-05,7.204535007476807,7.2857657444374775,7.16079560907668,7.248275001781543,14375900
2010-01-06,7.179540157318115,7.254522229938397,7.110806739725659,7.223280146608353,13608400
2010-01-07,6.94209623336792,7.148297070286456,6.9171022105870215,7.12955170217691,27346600
2010-01-08,6.93584680557251,7.01082885911491,6.89210682741115,6.960840823419977,16895300
2010-01-11,6.89835786819458,7.023328000680884,6.798381762205536,6.967091292085898,22214500
2010-01-12,6.685908317565918,6.8296244162635755,6.629671609201817,6.79838173429412,20863400
2010-01-13,6.860865592956543,6.879611557196293,6.692156086130398,6.692156086130398,13482300
2010-01-14,6.792133808135986,6.879613207864077,6.785885151890124,6.879613207864077,8692400
2010-01-15,6.623422622680664,6.835871519353743,6.598428599783565,6.835871519353743,15426400
2010-01-19,6.848368167877197,6.867113534264939,6.629670041703887,6.673410024481222,14898100
2010-01-20,6.7483930587768555,6.817126476043402,6.692156355602163,6.810877821045205,13604800
2010-01-21,6.61717414855957,6.829623646934799,6.598428779851322,6.785883658742852,13943800
2010-01-22,6.30474853515625,6.59218010332477,6.30474853515625,6.567186079827705,21017600
2010-01-25,6.3422393798828125,6.492204119310034,6.304748641954409,6.304748641954409,20606500
2010-01-26,6.248510360717773,6.360983737900097,6.217267689733308,6.348486431144557,21913300
2010-01-27,6.242260456085205,6.335988450250921,6.2110177913633,6.267254468681877,22963800
2010-01-28,6.279753684997559,6.373481111797223,6.179777604170065,6.360984399646009,40246500
2010-01-29,6.348487854003906,6.479706624824654,6.310997117143417,6.3984759004209035,30073000
2010-02-01,6.2985005378723145,6.429719323907346,6.198524433446498,6.335991874984289,23074400
2010-02-02,6.223516941070557,6.298499001094968,6.18602561310613,6.298499001094968,18259200
2010-02-03,6.286004066467285,6.3359921206181316,6.198524673751,6.2360154164118295,14829600
2010-02-04,6.048559665679932,6.279754532781562,5.998571618517661,6.261009164071842,18370700
2010-02-05,5.973576068878174,6.06730348438693,5.873599404189958,5.998570086074134,33731000
2010-02-08,6.004821300506592,6.0860520480769855,5.89234846194386,6.061058017740302,25173000
2010-02-09,5.998570919036865,6.136037734751127,5.967328244227458,6.061055672751223,29316300
2010-02-10,6.061056137084961,6.079801505044893,5.942334678799384,5.9985713785836845,17525600
2010-02-11,6.179778575897217,6.192275290013451,5.99857175192776,6.086050538455025,13726100
2010-02-12,6.067305564880371,6.154784953015308,6.029814228278376,6.1172936164133125,13563900
2010-02-16,6.1922736167907715,6.198522270112702,6.07355218319599,6.092297547257402,9532800
2010-02-17,6.261008262634277,6.286002282616862,6.18602560678208,6.2172682807364215,13959400
2010-02-18,6.286004066467285,6.310998093542708,6.192276018005992,6.286004066467286,5162700
2010-02-19,6.261008262634277,6.304747648627691,6.198522914725593,6.279753628645105,8055100
2010-02-22,6.248510360717773,6.3047470493089355,6.236013053962234,6.2672557249467,8422700
2010-02-23,6.154781818389893,6.267254579104435,6.111041848646867,6.267254579104435,18118100
2010-02-24,6.1360392570495605,6.223518649037893,6.092299859007697,6.1547852241285925,13237600
2010-02-25,6.092299461364746,6.117293486600829,5.973577990469494,6.092299461364746,18311800
2010-02-26,6.092299461364746,6.111044831315667,6.02356604094166,6.079802150794421,9389800
2010-03-01,6.217268466949463,6.248511141839552,6.179777733804922,6.192274446218283,13623900
2010-03-02,6.217268466949463,6.310996491619732,6.186025792059373,6.261008450157372,12070900
2010-03-03,6.161031246185303,6.292249992815524,6.129789169862628,6.286001935093634,13229000
2010-03-04,6.167280197143555,6.192274216949332,6.092298137726226,6.104795445581333,21949000
2010-03-05,6.329741954803467,6.342238667407566,6.223517216098519,6.242262582956902,17723700
2010-03-08,6.39222526550293,6.404722571188109,6.342237234570882,6.367231250036905,16149800
2010-03-09,6.404724597930908,6.460961299501366,6.348487896360449,6.367233264915761,14016900
2010-03-10,6.460961818695068,6.560937920230033,6.379731087221766,6.39847645728343,12284500
2010-03-11,6.560935974121094,6.560935974121093,6.435965884271094,6.473456613273897,18740500
2010-03-12,6.454712867736816,6.5546889646927164,6.404724819258867,6.529694940453741,12629000
2010-03-15,6.335990905761719,6.404724318064105,6.29225091983793,6.398475663517207,11265700
2010-03-16,6.429720401763916,6.454714432060285,6.317246967477913,6.335992937128705,9673400
2010-03-17,6.510950088500977,6.542192770257848,6.460962036051819,6.473458751211814,12314400
2010-03-18,6.460961818695068,6.548440609585877,6.385979742543844,6.535943894846291,13981900
2010-03-19,6.30474853515625,6.4609613309890435,6.298499880305853,6.30474853515625,12898200
2010-03-22,6.36098575592041,6.398476496272185,6.27350636859198,6.304749049488175,9479200
2010-03-23,6.4172234535217285,6.429720170267637,6.342240769427619,6.373483455149387,19340200
