quarter_key,call_date,event_2330,alpha,beta_twii,n_est,TW_CAR_0_0,TW_CAR_m1p1,TW_CAR_0p1,TW_CAR_m1p3,TW_CAR_m1p5,TSM_CAR_m1p1,TSM_CAR_0_0,TSM_CAR_0p1,TSM_CAR_m1p3,TSM_CAR_m1p5
2014_Q4,2015-01-15,2015-01-16,0.000734278330325041,1.3199296554018427,121,0.04495048771132442,0.06662931916227674,0.05364812591633264,0.05883226351921986,0.06464368961985537,0.07774,0.095823,0.071256,0.098632,0.123933
2015_Q1,2015-04-16,2015-04-17,0.0008886002554395113,1.4622510510443871,121,-0.0184874947995533,-0.003925932254163072,-0.013104956142280324,-0.011413336075152016,0.003270194770600629,0.005073,-0.012033,-0.005042,0.002331,0.0364
2015_Q2,2015-07-16,2015-07-17,0.0002849403784829381,1.3763032128315023,121,0.02478248154962648,0.015250640535498516,0.028153757176001673,0.023383502033686783,0.03191304329112207,0.001685,0.000648,0.012568,-0.003382,-0.023609
2015_Q3,2015-10-15,2015-10-16,0.0011168379895799003,1.1383426186855388,121,-0.01942818923740416,-0.006449837660517099,-0.02042102793521807,-0.0021118882715742684,-0.0019237080451469362,-0.003736,-0.03187,-0.026535,0.003864,0.002914
2015_Q4,2016-01-14,2016-01-15,0.0011570533650186962,1.2516180305910103,121,0.037575646850854835,0.02542506394451239,0.028489866725994156,0.022864941087300524,0.04084985453544797,0.044062,0.051431,0.036293,0.053558,0.070718
2016_Q1,2016-04-14,2016-04-15,0.0013601282626315915,1.1364729415623345,121,-0.018029102622076732,-0.027716154336055156,-0.0243029943315315,-0.03589273301685152,-0.025184005818621444,-0.016321,-0.034717,-0.028772,-0.040601,-0.039254
2016_Q2,2016-07-14,2016-07-15,0.0011661724936404356,1.1836450252705277,121,-0.009353218903078026,-0.01758707924691248,-0.018237745183539662,-0.01689295306775538,-0.014022895629139002,-0.007368,0.000769,-0.003027,-0.002236,0.002039
2016_Q3,2016-10-13,2016-10-14,0.0008297278327485168,1.5091635932381862,121,0.00535773564112501,-0.005924552278955656,-0.0052702882093473916,-0.009207820239711575,-0.019765753426983293,-0.004139,-0.023831,-0.021498,-0.00341,-0.00053
2016_Q4,2017-01-12,2017-01-13,0.0001556148674383006,1.455715307872166,121,-0.011566278277912585,-0.005771797943102227,-0.009315075518322877,-0.005515924926555433,-0.0041871338677239005,-0.024233,-0.026234,-0.024013,-0.02114,-0.001733
2017_Q1,2017-04-13,2017-04-14,-0.00043069079957418855,1.319384501143724,121,0.0012920721194991137,-0.0034782673226851192,-0.003973330908215107,0.002408808598166728,0.011382095337813005,-0.00883,-0.007033,-0.009834,-0.016675,-0.00673
2017_Q2,2017-07-20,2017-07-21,6.0976411266811636e-05,1.4506672138665542,121,0.0016358539657474452,0.006026543722437128,0.0004950157351767486,0.004747203978328021,0.004112013726046047,-0.008373,-0.009813,-0.016531,-0.005423,-0.003794
2017_Q3,2017-10-23,2017-10-24,0.0008788522148601512,1.2861305463792634,121,-0.006089676801402922,-0.0031033067859984912,-0.007781359921878482,0.004411978111387969,0.00923934370930622,-0.000644,0.005818,0.005352,-0.001222,0.013967
2017_Q4,2018-01-18,2018-01-19,0.0005584957871547087,1.3607686707209405,121,0.017866515868977986,0.048998846984519305,0.030954123149359705,0.0445993943613747,0.032469032533518294,0.04064,0.035394,0.031671,0.063354,0.037419
