Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2010-01-04,84.79637908935547,84.84127078300016,83.43460919990564,84.07808344850892,118944600
2010-01-05,85.02082061767578,85.05823415808409,84.43720592173675,84.7439809692715,111579900
2010-01-06,85.08070373535156,85.29020591967505,84.8712015510281,84.93853909234362,116074400
2010-01-07,85.4398422241211,85.5445933013371,84.68413313120084,84.92356498033823,131091100
2010-01-08,85.72416687011719,85.76158041610933,85.04328485940425,85.21537347055455,126402800
2010-01-11,85.8438949584961,86.14318052486202,85.4772604352372,86.10577268331942,106375700
2010-01-12,85.04328155517578,85.4548020025721,84.71406063045438,85.27522954749925,163333500
2010-01-13,85.7615737915039,86.00100562524415,84.82629229900213,85.260258573059,161822000
2010-01-14,85.9935302734375,86.15065689468558,85.61193378840315,85.66430932881917,115718800
2010-01-15,85.02831268310547,85.92618065461131,84.69909176291749,85.84388113306966,212283100
2010-01-19,86.09080505371094,86.1431805987205,84.9909129000037,85.01336445515604,139172700
2010-01-20,85.21541595458984,85.63442047776888,84.5345336044239,85.50722349159074,216490200
2010-01-21,83.57672119140625,85.49965900541397,83.47197015939828,85.23778142539408,344859600
2010-01-22,81.71366119384766,83.60666975355294,81.62387212820586,83.20262752092148,345942400
2010-01-25,82.13267517089844,82.61154453602265,81.86331935899211,82.4618960755135,186937500
2010-01-26,81.78849792480469,82.65644193020402,81.58647962479233,81.81094376830545,211168800
2010-01-27,82.17757415771484,82.36463045560174,81.05523637039343,81.68374279121093,271863600
2010-01-28,81.23481750488281,82.49183618944313,80.7409917940765,82.4469444998714,316104000
2010-01-29,80.3519287109375,82.15515474270501,80.2247317574994,81.58650181582514,310677600
2010-02-01,81.6014404296875,81.6089242802473,80.43421091659629,80.92055844988609,187865000
2010-02-02,82.58911895751953,82.74624560908724,81.46678083903002,81.75111014915842,216327900
2010-02-03,82.17757415771484,82.66392167392182,81.93814232475981,82.21498199218911,172730700
2010-02-04,79.6410903930664,81.57899087909098,79.62612269262704,81.5415830450028,356715700
2010-02-05,79.80573272705078,79.97033753810307,78.24942235295039,79.7309056119728,493585800
2010-02-08,79.22956848144531,80.30701463030229,79.1697090935076,79.8655587798935,224166900
2010-02-09,80.22474670410156,80.92059671406275,79.51392898594315,80.15740343423018,337820500
2010-02-10,80.0676040649414,80.50905432415972,79.39420004294935,80.09753376686405,240511500
2010-02-11,80.90560913085938,80.99539823246123,79.49894745680375,79.96284925231997,223591600
2010-02-12,80.8382568359375,80.88314852429394,79.69347311480281,80.05261803866573,304622100
2010-02-16,82.11023712158203,82.19254235554693,80.67364601538563,81.45180095836841,159317500
2010-02-17,82.49931335449219,82.61154827783135,82.11023304805046,82.50679149647756,168845100
2010-02-18,82.98567199707031,83.15776062186588,82.33471392132847,82.36464361879425,193708600
2010-02-19,83.15775299072266,83.47949007332221,82.57413821496195,82.76867837638405,222684900
2010-02-22,83.17272186279297,83.4869750990087,82.92580615926389,83.4645292547798,132346900
2010-02-23,82.16261291503906,83.20264555635559,81.9456269074147,82.94825171131673,207497000
2010-02-24,82.91832733154297,83.05300811358092,82.20003173017597,82.40953390034475,176350700
2010-02-25,82.80607604980469,82.86593543189599,81.5116497359834,81.73611385606846,259634700
2010-02-26,82.85847473144531,83.14280402156395,82.3870948099157,82.88092057887437,173589300
2010-03-01,83.71893310546875,83.80123834981426,83.18020994557321,83.20265579248448,147709700
2010-03-02,83.95085906982422,84.35490133355017,83.80121632407602,84.07806168306551,160992400
2010-03-03,84.02572631835938,84.52703603561427,83.8162183822532,84.16788528222553,150785000
2010-03-04,84.28008270263672,84.39980146993406,83.82366489219936,84.13791809359736,135770400
2010-03-05,85.4847412109375,85.55207874839493,84.62428096733188,84.8263049967163,176118800
2010-03-08,85.49970245361328,85.68675877846967,85.35005967713059,85.49222431074335,114631200
2010-03-09,85.64185333251953,86.03841176416392,85.20040321684147,85.24529490087514,154556700
2010-03-10,86.02345275878906,86.25540074568903,85.60444847058129,85.67926984940335,186088800
2010-03-11,86.38260650634766,86.40505805994813,85.55955983801223,85.82143754495907,160791100
2010-03-12,86.39009857177734,86.77169510018658,86.15066668715922,86.75672739636308,162074800
2010-03-15,86.41255950927734,86.47241891801177,85.74663928550234,86.24047084480016,146816800
2010-03-16,87.10089111328125,87.18319062669224,86.41251964739435,86.65195146337528,168673000
2010-03-17,87.6171646118164,87.90149382449385,87.10837127747799,87.36277079889965,177468100
2010-03-18,87.57229614257812,87.74438477728444,87.22062931273511,87.62467168903305,196509100
2010-03-19,87.12901306152344,88.12073738195929,86.79092170763928,87.12901306152344,226641100
2010-03-22,87.59483337402344,87.75261280353222,86.58057061469447,86.63316184719258,184477800
2010-03-23,88.2109146118164,88.28604412878153,87.43706396423293,87.72256415352102,182941600
2010-03-24,87.78264617919922,88.22591998207352,86.83600414352632,87.88031968987355,196072600
2010-03-25,87.63987731933594,88.78186032475055,87.53469490036402,88.37615425213943,223396300
2010-03-26,87.58732604980469,88.21842085141644,87.2417256967295,87.80520565474623,205808500
2010-03-29,88.14325714111328,88.30103078030712,87.66993622353179,88.03056004682846,134513500
2010-03-30,88.20339965820312,88.52646173893238,87.835261013842,88.24847622183498,145772500
2010-03-31,87.90284729003906,88.29352408924247,87.60983825763329,87.8652796778792,161078700
2010-04-01,88.50393676757812,88.8420225096925,87.97801860738117,88.50393676757812,161215200
2010-04-05,89.22516632080078,89.28526648768727,88.59406584637358,88.84199838032762,105847600
2010-04-06,89.43553924560547,89.59331294534043,88.8720592899744,88.96972708542522,110384200
2010-04-07,88.92462921142578,89.67593563887479,88.51140838352357,89.25520587374756,184576300
2010-04-08,89.232666015625,89.38293074731047,88.35363883031536,88.61659494574815,158704000
2010-04-09,89.8187026977539,89.85626458702924,89.25522277049576,89.42050540093287,133006500
2010-04-12,89.96145629882812,90.19436525714752,89.82622087309954,89.93140334510902,110279000
2010-04-13,90.0290756225586,90.1868493283732,89.40548973861412,89.87130191674397,125043600
2010-04-14,91.05086517333984,91.05086517333984,90.2169142377888,90.35965861986335,161609000
2010-04-15,91.1259536743164,91.33631854857212,90.87050651842522,90.90055946217788,144615300
2010-04-16,89.67593383789062,91.1259554430266,89.21763646778979,90.80289345643114,366786700
2010-04-19,90.01404571533203,90.10420457466694,89.00729758015846,89.41300384914346,217947800
2010-04-20,90.81790924072266,90.89304446109794,90.05909395664256,90.57749143875432,157708000
2010-04-21,90.65265655517578,91.08090108528664,90.14927677991102,90.87053042367592,192910100
2010-04-22,90.923095703125,91.03579280667333,89.49561816488875,90.01401566999061,115360300
2010-04-23,91.51666259765625,91.554230223535,90.6301205078581,90.86302947067946,177335500
2010-04-26,91.1710433959961,91.74955261579316,91.08089028372603,91.54669664915802,143457300
2010-04-27,89.01478576660156,91.16351682062525,88.84198277062794,90.64511929673039,355853300
2010-04-28,89.69095611572266,89.91635032889786,88.85700555179251,89.44302935964546,300674100
2010-04-29,90.80289459228516,90.99072119772475,90.20936183125441,90.23190010678508,193775000
2010-04-30,89.26270294189453,90.91558030171053,89.24016466919004,90.8179068106412,270000900
2010-05-03,90.41971588134766,90.66764834651262,89.55571245341702,89.69094782241497,182747900
2010-05-04,88.29352569580078,89.42799996591934,87.84274300174445,89.41297635998974,360353400
2010-05-05,87.76760864257812,88.50389139659676,87.12899938373258,87.57226738424458,328973200
2010-05-06,84.85256958007812,87.90287255412181,78.88719331780163,87.34690727284612,647356600
2010-05-07,83.5903549194336,85.47612992971396,82.20043917178832,84.62715572822566,637558800
2010-05-10,87.27177429199219,87.63991290788655,86.33264107551679,87.00881240576767,396159600
2010-05-11,87.02387237548828,88.17337091990156,86.33267146057545,86.45287757394381,317849800
2010-05-12,88.24097442626953,88.36870092855487,87.21919680008,87.36946158746996,235607100
2010-05-13,87.14405059814453,88.413760581568,87.0689210848327,88.00053966033123,234452500
2010-05-14,85.56632232666016,86.64820584332426,84.79999199036669,86.49043211914665,345601400
2010-05-17,85.61138916015625,86.03963371480009,83.97354045902433,85.79921581977223,325739800
2010-05-18,84.44683837890625,86.56552214424906,84.16885295438497,86.31007499403789,360556800
2010-05-19,83.96601867675781,84.72483413849193,82.91418839738697,83.97352761494331,394742700
2010-05-20,80.79550170898438,82.56107083782513,80.74291048325767,82.17790291780845,530418300
2010-05-21,81.9750747680664,82.17792505565403,79.15767463370068,79.57089561288042,500909400
2010-05-24,80.9231948852539,82.18538960495124,80.84806540722668,81.53175110888971,269823000
2010-05-25,81.00586700439453,81.04343462238722,78.42137079727088,78.96982706709002,396505200
2010-05-26,80.51750183105469,82.24550876485534,80.27708402332712,81.50171706782514,349719300
2010-05-27,83.21471405029297,83.24476699976171,81.72712457766734,82.03516301071143,300870500
2010-05-28,82.17042541503906,83.18468843179345,81.77974267559762,83.1245825131077,297933500
2010-06-01,80.78800964355469,82.60617050684468,80.6678035505515,81.40408091673622,277909400
2010-06-02,82.8916244506836,82.89913338654388,80.77294093962598,81.20118529615851,240243700
2010-06-03,83.1771469116211,83.44010305597624,82.32817257927051,83.13207035316424,226618300
2010-06-04,80.25456237792969,82.14034335140225,79.98409157169402,81.59940173893092,398475600
2010-06-07,79.25531768798828,80.84808946334418,79.19521752689091,80.54005106016133,264609100
2010-06-08,80.10430908203125,80.2620827749238,78.62423421230667,79.31543488555427,357774300
2010-06-09,79.67610168457031,81.35151291729647,79.33801012912919,80.57015302749845,268023300
2010-06-10,82.0051040649414,82.10277184456272,79.66854043572842,81.03591801049497,317890600
2010-06-11,82.4032974243164,82.45588865021139,81.2312611146489,81.28385234054389,214128200
2010-06-14,82.27558135986328,83.48518535605008,82.19293718134016,83.03439684337339,207196100
2010-06-15,84.1463394165039,84.22146893029432,82.71134105544479,82.85409114405671,238268700
2010-06-16,84.11627197265625,84.46187226216216,83.54527744859656,83.71056578966754,216374000
2010-06-17,84.25150299072266,84.3942530473261,83.4325817296071,84.35668543284734,263185800
2010-06-18,84.34285736083984,84.64480515590624,84.07109973785205,84.41834430960644,174006600
2010-06-21,84.10128784179688,85.45251964902765,83.63325958814792,85.3921335512056,213140700
2010-06-22,82.71229553222656,84.47116931681715,82.59151758955291,84.10127930831896,239355400
2010-06-23,82.4556655883789,83.05956701647892,81.88950475993691,82.76516384643193,254639900
2010-06-24,81.0893325805664,82.1537177774157,80.87796677788926,82.04803487607712,268523600
2010-06-25,81.42903137207031,81.84421254720506,80.59865750322862,81.33089313705115,238726500
2010-06-28,81.17235565185547,81.76871235238976,80.87795251301117,81.54979616414664,169218600
2010-06-29,78.66615295410156,81.15726270459827,78.1679344595734,80.03248580163827,373649500
